Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Duplicate),Outward issue link (Reference),Outward issue link (Regression),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add Automatic-Module-Name Manifest Header for Java 9 compatibility,LOGGING-165,13104503,Improvement,Open,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,,,leon_a,leon_a,23/Sep/17 11:01,01/Mar/18 13:48,07/Apr/19 20:35,,1.2,,,,,,,,,1.2.1,,0,,," Ading modularity headers so that other module can import it

[My project|https://github.com/leonchen83/redis-replicator] using commons-logging as dependency. 
When I use maven build my project. shows following warning:

[INFO] --- maven-compiler-plugin:3.7.0:compile (default-compile) @ redis-replicator ---
[WARNING] ********************************************************************************************************************
[WARNING] * Required filename-based automodules detected. Please don't publish this project to a public artifact repository! *
[WARNING] ********************************************************************************************************************

The root cause is commons-logging-1.2 is not a standard java 9 module(miss module-info.java). 

Env:
java version ""9""
Java(TM) SE Runtime Environment (build 9+181)
Java HotSpot(TM) 64-Bit Server VM (build 9+181, mixed mode)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2017-09-23 18:25:03.593,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Thu Mar 01 13:48:18 UTC 2018,,,,,,0|i3kg9z:,9223372036854775807,,,,,,,,23/Sep/17 18:25;b.eckenfels;Care to elaborate what this is about? Is that about adding modularity headers or are code changes needed?,24/Sep/17 01:21;leon_a;Sorry. I added description about this issue.,26/Sep/17 14:56;britter;I'll add the Automatic-Module-Name header as a first fix and see if that is enough to fix this for the reporter.,26/Sep/17 15:12;britter;This looks like it will get complicated. See https://lists.apache.org/thread.html/cc12dd872e25335eda054da2c995672e33ffd9c4764270485d346b4d@%3Cdev.commons.apache.org%3E,"26/Sep/17 21:04;britter;{code}
~/w/a/c/commons-logging > svn ci -m ""LOGGING-165: Add Automatic-Module-Name Manifest Header for Java 9 compatibility.""
Sending        pom.xml
Sending        src/changes/changes.xml
Transmitting file data ..done
Committing transaction...
Committed revision 1809785.
{code}

Please check out whether the jar build from trunk works for you.","09/Oct/17 02:53;leon_a;Thanks. I will check this jar later.
But how do you solve the following jar package conflict.
commons-logging.jar
commons-logging-adapters.jar
commons-logging-api.jar
","09/Oct/17 07:45;leon_a;Hi 
I tested the jar build from trunk.
This is works for me.
I cant see the maven warning now.","01/Mar/18 08:04;leon_a;hi 
Is there any plan to upload 1.2.1 to maven central?","01/Mar/18 13:48;b.eckenfels;Yes, we distribute all releases also as ready built binaries to maven central. But there is no fixed time between releases, happens whenever a committer has time and volunteers as release manager.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomStringUtils' random method infinite loop,LOGGING-164,13020015,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Invalid,,anedumar,anedumar,11/Nov/16 03:42,11/Nov/16 03:43,07/Apr/19 20:35,11/Nov/16 03:43,,,,,,,,,,,,0,,,"The following code goes into an infinite loop.

RandomStringUtils.random(1, 0, 0, false, true, new char[] { 'a' })

I know it doesn't make sense to pass letters=false and then an array, but a bug in the caller will fall into this trap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Fri Nov 11 03:43:42 UTC 2016,,,,,,0|i367g7:,9223372036854775807,,,,,,,,11/Nov/16 03:43;anedumar;Sorry raised in the wrong component.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BufferedReader is not closed properly,LOGGING-163,13012880,Bug,Resolved,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Fixed,garydgregory,kal0ian,kal0ian,17/Oct/16 14:30,26/Sep/17 14:59,07/Apr/19 20:35,17/Oct/16 17:28,1.1.1,1.2,,,,,,,,1.2.1,,0,,,"In LogFactory class at line 552 there is BufferedReader that is not closed properly. For example if rd.readLine(); throw an exception then the Reader will remain open.
{code}
 BufferedReader rd;
try {
    rd = new BufferedReader(new InputStreamReader(is, ""UTF-8""));
 } catch (java.io.UnsupportedEncodingException e) {
     rd = new BufferedReader(new InputStreamReader(is));
}

String factoryClassName = rd.readLine();
rd.close();
{code}

In SimpleLog class at line 163 there is InputStream that is not closed properly. 

{code}
        InputStream in = getResourceAsStream(""simplelog.properties"");
        if(null != in) {
            try {
                simpleLogProps.load(in);
                in.close();
            } catch(java.io.IOException e) {
                // ignored
            }
        }
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2016-10-17 17:28:54.059,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Mon Oct 17 17:28:54 UTC 2016,,,,,,0|i34zgn:,9223372036854775807,,,,,,,,"17/Oct/16 17:28;garydgregory;Thank you for the report.

Fix in SVN trunk.

{noformat}
commit -m ""[LOGGING-163] BufferedReader is not closed properly."" -N E:/vcs/svn/apache/commons/trunks-proper/logging/src/main/java/org/apache/commons/logging/LogFactory.java E:/vcs/svn/apache/commons/trunks-proper/logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java E:/vcs/svn/apache/commons/trunks-proper/logging/src/changes/changes.xml
    notify.commit.modified
    notify.commit.modified
    notify.commit.modified
    notify.commit.transmit
    Unknown action received: commit finalizing
    Committed revision 1765341.
{noformat}

You can test from SVN trunk or a SNAPSHOT build from https://repository.apache.org/content/repositories/snapshots/

Note that Log4j 2 is what some of us consider a much better logging API and superseding Commons Logging.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.discovery.DiscoveryException,LOGGING-162,12904100,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Not A Problem,,vijendra07kulhade,vijendra07kulhade,12/Oct/15 07:12,26/Feb/18 18:52,07/Apr/19 20:35,26/Feb/18 18:52,1.0.4,,,,,,,,,,,0,newbie,,org.apache.commons.discovery.DiscoveryException: Class org.apache.commons.logging.impl.SLF4JLogFactory does not implement org.apache.commons.logging.LogFactory,Tomcat 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2015-10-12 09:00:14.715,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Mon Oct 12 09:00:14 UTC 2015,,,,,,0|i2mvh3:,9223372036854775807,,,,,,,,"12/Oct/15 07:15;vijendra07kulhade;I am using slf4j in my application. During Axis client call I am getting above exception.
<dependency>
			<groupId>org.slf4j</groupId>
			<artifactId>slf4j-log4j12</artifactId>
            <version>1.7.12</version>
		</dependency>
		<dependency>
			<groupId>org.slf4j</groupId>
			<artifactId>slf4j-api</artifactId>
            <version>1.7.12</version>
		</dependency>
        <dependency>
            <groupId>org.slf4j</groupId>
            <artifactId>log4j-over-slf4j</artifactId>
            <version>1.7.12</version>
        </dependency>","12/Oct/15 07:26;vijendra07kulhade;I tried adding 

<dependency>
            <groupId>org.slf4j</groupId>
            <artifactId>jcl-over-slf4j</artifactId>
            <version>1.5.11</version>
        </dependency>
 After adding this I am getting below Exception from Spring.

org.springframework.web.context.ContextLoaderListener
java.lang.NoSuchMethodError: org.slf4j.spi.LocationAwareLogger.log(Lorg/slf4j/Marker;Ljava/lang/String;ILjava/lang/String;Ljava/lang/Throwable;)V


Please Help.","12/Oct/15 09:00;joehni;The error messaqe is a result of the initialization of Apache Commons Logging. However, the message clearly states, that it cannot find an implementation. Slf4j is an independent project and does not belong to Apache. You have to consult slf4j's documentation, how to substitute properly Apache Commons Logging.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons-logging-adapters on Central lacks a pom.xml,LOGGING-161,12780876,Bug,Resolved,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Won't Fix,,cvrebert,cvrebert,10/Mar/15 14:50,10/Mar/15 20:40,07/Apr/19 20:35,10/Mar/15 20:40,1.1.0,,,,,,,,,,,0,,,"{{commons-logging-adapters}} version {{1.1}}, as published on Maven Central, is currently missing a {{pom.xml}}.
See https://repo1.maven.org/maven2/commons-logging/commons-logging-adapters/1.1/ and http://search.maven.org/#artifactdetails%7Ccommons-logging%7Ccommons-logging-adapters%7C1.1%7CN%2FA

Per the ""Sufficient Metadata"" section of http://central.sonatype.org/pages/requirements.html , the artifact is required to have a {{pom.xml}}. Also, the lack of a {{pom.xml}} seems to cause problems for some build tools (Ivy/sbt in my case).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2015-03-10 15:12:25.257,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Tue Mar 10 20:40:41 UTC 2015,,,,,,0|i26l0v:,9223372036854775807,,,,,,,,"10/Mar/15 15:12;joehni;That GAV is bogus anyway. Use a newer release, the artifact is now available as attached artifact with the standard GAV and the classifier ""adapters"".","10/Mar/15 16:51;cvrebert;Thanks for the info. It's unfortunately a dependency of a dependency for me, but I've forwarded your advice and filed a bug in the dependency: https://github.com/validator/validator/issues/57",10/Mar/15 20:40;tn;Can't be fixed as outlined by Joerg. The problem is anyway solved as the project in question updated its logging dependency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,LOGGING-160,12759567,New Feature,Resolved,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Invalid,,ChuBa,ChuBa,05/Dec/14 01:57,07/Jan/15 21:12,07/Apr/19 20:35,07/Jan/15 21:12,1.2,,,,,,,,,,,0,,,,,,,,,,,,,PIG-3600,LUCENE-5111,HADOOP-3485,XALANC-701,HBASE-10122,ZOOKEEPER-2000,ANY23-66,HBASE-6110,HDFS-5960,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2014-12-08 01:53:30.337,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Wed Jan 07 21:12:59 UTC 2015,,,,,,0|i232vz:,9223372036854775807,,,,,,,,08/Dec/14 01:53;garydgregory;[~ChuBa]: What is this issue about?,07/Jan/15 21:12;tn;Closing as invalid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalFonts uses classloader of class in font-box,LOGGING-159,12742063,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Invalid,,c.hoeflake,c.hoeflake,17/Sep/14 07:42,17/Sep/14 08:15,07/Apr/19 20:35,17/Sep/14 08:15,2.0,,,,,,,,,,,0,,,"ExternalFonts loads some default fonts via the org.apache.fontbox.util.ResourceLoader. That resourceloader uses it's own classloader (ResourceLoader.class.getClassLoader()) for loading the given resource.
The problem is that the resource is in the PDFBox project and the ResourceLoader in the FontBox. In an OSGI environment this is a problem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,9223372036854775807,,,Wed Sep 17 08:15:21 UTC 2014,,,,,,0|i20587:,9223372036854775807,,,,,,,,"17/Sep/14 08:15;c.hoeflake;Sorry, wrong project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace WeakHashtable with WeakHashMap,LOGGING-158,12723960,Improvement,Open,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,,,tn,tn,26/Jun/14 20:33,26/Jun/14 20:56,07/Apr/19 20:35,,,,,,,,,,,2.0,,0,,,When dropping support for Java 1.1 we could also replace the custom WeakHashtable that is used internally with a WeakHashMap which is supported since Java 1.2. This would also allow to clean up some deprecated code as a Hashtable does not allow null keys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,402145,,,Thu Jun 26 20:56:10 UTC 2014,,,,,,0|i1x7vj:,402210,,,,,,,,26/Jun/14 20:56;tn;Moving to 2.0 as it will not be possible in the 1.x branch due to b/c issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix javadoc 1.8 errors and some warnings,LOGGING-157,12692651,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,scop,scop,01/Feb/14 10:17,09/Jul/14 20:14,07/Apr/19 20:35,26/Jun/14 20:13,,,,,,,,,,1.2,,0,patch,,,,,,,,,,,,,,,,,,,,,,,,01/Feb/14 10:17;scop;0001-Fix-Javadoc-1.8-errors-and-some-warnings.patch;https://issues.apache.org/jira/secure/attachment/12626466/0001-Fix-Javadoc-1.8-errors-and-some-warnings.patch,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2014-06-26 20:13:18.742,,,false,,,,,,,,,,,,,,,371246,,,Thu Jun 26 20:13:18 UTC 2014,,,,,,0|i1rzd3:,371549,,,,,,,,"26/Jun/14 20:13;tn;Applied patch with some minor additions in r1605899.

Thanks for the patch and report!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityAllowedTestCase is failing,LOGGING-156,12690778,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Fixed,,mizdebsk,mizdebsk,23/Jan/14 14:54,09/Jul/14 20:14,07/Apr/19 20:35,27/Jun/14 09:38,2.0,,,,,,,,,1.2,,0,,,"{{SecurityAllowedTestCase}} fails randomly, which could indicate either a bug in the test case or in the implementation.

On some random condition the call to {{log.info(""testing"");}} in the test case results in  security exceptions, which are recorded by {{MockSecurityManager}} causing the test case to fail.  Adding a call to {{Thread.sleep}} just before or just after the call to {{log.info}} helps with reproducing the problem.

The path leading to SecurityException being thrown is:
{code:a=none}
java.lang.SecurityException: Untrusted code [testcase] found
	at org.apache.commons.logging.security.MockSecurityManager.checkPermission(MockSecurityManager.java:126)
	at java.lang.SecurityManager.checkPackageAccess(SecurityManager.java:1529)
	at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:305)
	at java.lang.ClassLoader.loadClass(ClassLoader.java:358)
	at java.util.ResourceBundle$RBClassLoader.loadClass(ResourceBundle.java:450)
	at java.util.ResourceBundle$Control.newBundle(ResourceBundle.java:2566)
	at java.util.ResourceBundle.loadBundle(ResourceBundle.java:1436)
	at java.util.ResourceBundle.findBundle(ResourceBundle.java:1400)
	at java.util.ResourceBundle.getBundleImpl(ResourceBundle.java:1296)
	at java.util.ResourceBundle.getBundle(ResourceBundle.java:721)
	at java.util.logging.Level.getLocalizedLevelName(Level.java:259)
	at java.util.logging.SimpleFormatter.format(SimpleFormatter.java:161)
	at java.util.logging.StreamHandler.publish(StreamHandler.java:196)
	at java.util.logging.ConsoleHandler.publish(ConsoleHandler.java:105)
	at java.util.logging.Logger.log(Logger.java:610)
	at java.util.logging.Logger.doLog(Logger.java:631)
	at java.util.logging.Logger.logp(Logger.java:747)
	at org.apache.commons.logging.impl.Jdk14Logger.log(Jdk14Logger.java:87)
	at org.apache.commons.logging.impl.Jdk14Logger.info(Jdk14Logger.java:176)
	at org.apache.commons.logging.security.SecurityAllowedTestCase.testAllAllowed(SecurityAllowedTestCase.java:115)
{code}","Maven 3.1.1, OpenJDK 1.7 (IcedTea 2.4.4), Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2014-06-27 09:38:33.444,,,false,,,,,,,,,,,,,,,369516,,,Fri Jun 27 09:38:33 UTC 2014,,,,,,0|i1rot3:,369821,,,,,,,,"27/Jun/14 09:38;tn;Fixed in r1606000.

The reason for the test error was because OpenJDK loads some ResourceBundles without calling AccessController#doPrivileged().

Our test setup assumed that this was an unprivileged access and thus reported the error, but this is wrong imho.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
