GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,OctalUnescaper,2,114,4,20,0,17,4,12,0,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,105,0,12,2,27,0,11,0,5
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeEscaper,15,120,0,18,3,25,2,15,2,6
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,LookupTranslator,0,109,1,13,0,25,1,8,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,283,0,14,0,13
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,Range,23,414,6,72,2,92,6,57,0,24
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,18,0,0,0,4,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,Conversion,193,2608,84,376,58,505,75,229,1,43
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ArrayUtils,2,5289,12,1092,1,1305,12,774,0,234
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,23,4,3,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,EnumUtils,0,366,1,25,0,64,1,25,0,13
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,BooleanUtils,0,789,10,240,0,202,10,157,0,40
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharRange,0,238,1,47,0,44,1,37,0,14
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharSet,0,300,0,34,0,59,0,26,0,9
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,AnnotationUtils,48,455,9,83,18,94,10,47,1,10
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ClassUtils.Interfaces,0,24,0,0,0,2,0,1,0,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringUtils,65,5491,38,1215,24,1371,39,780,1,191
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharSequenceUtils,42,142,12,26,12,36,9,18,0,8
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ClassUtils,41,1193,14,220,12,292,15,144,1,41
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,21,0,0,0,5,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,61,1,3,1,12,1,4,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,Range.ComparableComparator,0,19,0,0,0,3,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,NotImplementedException,0,38,0,0,0,16,0,7,0,7
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,SerializationUtils,29,130,1,13,7,43,1,12,0,6
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,LocaleUtils,0,497,2,72,0,97,2,45,0,10
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharUtils,0,279,0,62,0,58,0,55,0,24
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,ObjectUtils,31,583,1,87,6,141,1,78,0,35
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,SystemUtils,24,351,15,25,4,99,15,20,0,15
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharSetUtils,0,226,1,47,0,53,1,31,0,8
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,Validate,22,569,10,76,6,110,10,72,2,37
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,RandomStringUtils,13,267,2,54,5,61,3,38,1,12
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,35,1,13,1,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,JavaVersion,0,195,0,20,0,45,0,16,0,6
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,82,2,6,1,14,2,5,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3,StringEscapeUtils,8,503,0,0,2,86,2,14,2,14
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,38,29,6,0,7,7,6,4,3,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.reflect,MemberUtils,5,214,6,38,1,44,7,24,1,8
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.reflect,TypeUtils,859,1429,181,219,171,323,136,118,9,45
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.reflect,InheritanceUtils,0,42,0,10,0,12,0,7,0,2
