GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,WeakHashtable.WeakKey,0,11,0,0,0,4,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,SimpleLog,151,454,39,46,34,126,36,39,1,29
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,LogKitLogger,0,146,0,22,0,49,0,31,0,20
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,ServletContextCleaner,27,61,1,3,10,15,2,3,1,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,WeakHashtable,34,260,7,21,15,63,10,21,3,14
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,WeakHashtable.Entry,51,29,18,2,11,8,12,4,2,4
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,SimpleLog.new PrivilegedAction() {...},4,15,1,1,1,5,1,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,Jdk13LumberjackLogger,281,0,12,0,76,0,29,0,23,0
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,WeakHashtable.Referenced,1,75,2,8,0,22,2,8,0,5
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,NoOpLog,3,27,0,0,1,19,1,19,1,19
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},0,5,0,0,0,3,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,Jdk14Logger,195,0,10,0,55,0,27,0,22,0
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},13,0,0,0,3,0,2,0,2,0
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,AvalonLogger,45,141,14,12,13,30,21,15,8,15
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,Log4JLogger,98,165,7,7,17,38,14,16,8,15
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,LogFactoryImpl,1017,579,121,67,251,181,92,37,13,22
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging.impl,WeakHashtable.new Enumeration() {...},0,21,0,0,0,5,0,3,0,3
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory,1110,353,160,54,334,128,108,30,8,23
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},0,5,0,0,0,3,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogConfigurationException,40,7,2,0,8,3,5,1,4,1
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},22,22,2,2,8,5,1,3,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},0,22,0,2,0,5,0,3,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogSource,168,0,18,0,70,0,16,0,7,0
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},37,0,4,0,12,0,4,0,2,0
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.pathable,ChildFirstTestCase,391,83,18,2,99,22,12,6,2,6
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.pathable,GeneralTestCase,43,61,1,3,12,17,4,6,3,5
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.pathable,ParentFirstTestCase,385,80,18,2,97,21,12,6,2,6
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.noop,NoOpLogTestCase,0,93,0,0,0,34,0,6,0,6
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.simple,DecoratedSimpleLog,2,41,0,0,1,13,1,8,1,8
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.simple,DateTimeCustomConfigTestCase,59,51,2,2,11,16,3,5,1,5
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.simple,DefaultConfigTestCase,121,178,10,4,24,59,7,14,0,14
"commons-logging (1) (Apr 4, 2019 12:34:24 AM)/commons-logging/src/test",org.apache.commons.logging.simple,LogRecord,0,12,0,0,0,5,0,1,0,1
