GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer.EmptyClusterStrategy,0,44,0,0,0,9,0,1,0,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer,22,429,6,48,4,103,6,31,0,9
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,EuclideanIntegerPoint,74,104,8,12,14,19,7,10,2,5
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new UnsupportedOperationException() {...},23,0,0,0,4,0,3,0,3,0
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathException,31,115,2,6,7,29,6,13,4,11
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ArithmeticException() {...},7,16,0,0,1,3,1,2,1,2
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,ArgumentOutsideDomainException,0,22,0,0,0,2,0,1,0,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NullPointerException() {...},23,0,0,0,4,0,3,0,3,0
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MaxIterationsExceededException,9,25,0,0,2,7,1,3,1,3
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MaxEvaluationsExceededException,20,14,0,0,6,3,3,1,3,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ParseException() {...},14,11,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new EOFException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ConcurrentModificationException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,ConvergingAlgorithmImpl,0,88,0,2,0,31,0,15,0,14
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,DuplicateSampleAbscissaException,0,28,0,0,0,4,0,2,0,2
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException,202,92,6,2,43,17,28,13,24,13
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ArrayIndexOutOfBoundsException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NoSuchElementException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,DimensionMismatchException,0,28,0,0,0,6,0,3,0,3
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathConfigurationException,17,18,0,0,4,8,2,4,2,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new IllegalStateException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,FunctionEvaluationException,38,111,0,0,8,25,4,9,4,9
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,ConvergenceException,17,21,0,0,4,8,2,4,2,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new RuntimeException() {...},24,0,0,0,4,0,3,0,3,0
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new IllegalArgumentException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,TrapezoidIntegrator,18,169,2,12,4,34,4,9,2,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,SimpsonIntegrator,43,114,3,9,7,27,5,6,2,3
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,LegendreGaussIntegrator,33,456,3,12,5,78,4,10,1,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,RombergIntegrator,18,163,2,10,4,34,4,7,2,3
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,UnivariateRealIntegratorImpl,49,87,5,5,15,26,7,8,4,6
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,CurveFitter,6,91,0,2,2,21,1,7,1,6
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction,0,47,0,2,0,9,0,4,0,3
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,HarmonicFitter.ParametricHarmonicFunction,0,68,0,0,0,11,0,2,0,2
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,PolynomialFitter,6,39,0,0,2,9,0,4,0,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,GaussianParametersGuesser,24,362,11,31,5,59,10,20,0,9
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,PolynomialFitter.ParametricPolynomial,0,45,0,4,0,10,0,4,0,2
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,WeightedObservedPoint,0,21,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,GaussianFitter,0,43,0,0,0,10,0,5,0,5
"commons-math (Apr 3, 2019 11:52:20 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,ParametricGaussianFunction,0,135,0,6,0,25,0,7,0,4
